,found_PE3b,found_PE3,found_dPAM,found_PE2,N_sgRNA_found
ncd1,1,1,0,1,40
ncd2,1,1,0,1,104
ncd3,1,1,1,1,64
ncd4,1,1,0,1,84
ncd5,1,1,1,1,91
ncd6,1,1,0,1,95
ncd8,1,1,1,1,51
